"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PA2G4B.1",-4.10258794606551,10.8637053567103,-4.67327501462224,3.75208014084327e-05,0.0022557686629889,2.19174275549424
"LOC107394162.1",-5.56395723051385,11.9160802800725,-4.66619694584139,3.83458817352027e-05,0.00227792797450788,2.17179739345288
"hspa5",-4.46316127947408,10.9253396281027,-4.65406183224541,3.98023048950162e-05,0.00231467189866694,2.13761680919236
"DHRS4",-4.09944649601294,11.166640621861,-4.65332771750121,3.98921409389492e-05,0.00231467189866694,2.13554966755474
"G4P62_010335",-3.6745513093712,11.0807901119412,-4.63641336589949,4.20182942430758e-05,0.00240361376700259,2.08794143163817
"CU929036.1.1",4.33451609804668,11.641297705087,4.63355569813721,4.23883790573603e-05,0.00240361376700259,2.07990181030105
"DPYDB.2",3.80835313385496,11.6528638644169,4.62735878167797,4.32019939009517e-05,0.00242222415242415,2.06247148016029
"GNL3.2",-3.64115719300364,11.1449351841514,-4.61782765647021,4.44835136675663e-05,0.00242399722784165,2.03567302058253
"EEF1A1L1",6.14257278237613,12.6569082719948,4.61645286731401,4.4671429101662e-05,0.00242399722784165,2.03180857653552
"GLS2",-3.39439599968081,10.10829539017,-4.616310519179,4.46909308539943e-05,0.00242399722784165,2.03140845983724
"PPP6R2A.1",-3.33199522378212,10.2545904916038,-4.60526646880726,4.62298330277115e-05,0.00248050394417506,2.00037397915056
"MTP",-4.19714728494099,11.4240246772474,-4.59017664060007,4.84172149605757e-05,0.00257023300694971,1.95799798049771
"GIPC2",2.42517808221149,11.7240256349275,4.58563786877541,4.90948724302578e-05,0.00257877277291565,1.94525823440408
"OLA.5240",-4.29290001193123,11.1184289630341,-4.57528308641296,5.06760594299851e-05,0.00261664842968095,1.91620465135041
"HARS.1",-3.5885167421832,10.7324292660737,-4.57059228905932,5.14087601865319e-05,0.00261664842968095,1.90304820048902
"GRWD1.1",-3.15065568014054,10.150555446061,-4.56638949306334,5.2074092637749e-05,0.00261664842968095,1.89126315832432
"BOLA1",-3.41273689558143,10.1044238876119,-4.56619287021748,5.21054262521681e-05,0.00261664842968095,1.89071187159242
"HSPA8.2",-5.55110546856107,12.0056029158947,-4.56129283546403,5.28923166847441e-05,0.00261664842968095,1.87697507578988
"ATP1B1",3.2117947717744,11.6989717947514,4.55811700427831,5.3408558528295e-05,0.00261664842968095,1.86807379225238
"G4P62_006737",-3.9064449123881,11.9376962445169,-4.55650959164586,5.36717369946881e-05,0.00261664842968095,1.86356906532217
"PAH",-4.87846282721891,11.8725100359734,-4.55444901627021,5.4010979610649e-05,0.00261664842968095,1.85779491644075
"RPS6",-4.68887601616182,11.8356785491357,-4.54886031205643,5.49417416364898e-05,0.00263614702659696,1.84213737780195
"CECR5",-3.62369989500374,10.5840372346479,-4.54494932043687,5.56024675184567e-05,0.00264244107540094,1.83118292739639
"C4H22ORF28",-3.00251258755635,10.2644324718218,-4.54051872031411,5.63604315638226e-05,0.00265319390097618,1.81877582569159
"ADI1.2",-3.48648703617927,10.8834873839793,-4.53594248813143,5.71539888984365e-05,0.00266522989451113,1.80596397833153
"CU639413.3",-3.49514195061145,10.4701212077771,-4.53291886965238,5.76843343902208e-05,0.00266522989451113,1.79750062506073
"G4P62_016629",-3.80276021693106,10.9628990245907,-4.52591458806267,5.89315723423361e-05,0.00269787656869961,1.77790035665257
"Nfu_g_1_007730.2",-5.67241139086668,11.9878809489182,-4.52018589728275,5.99713705895142e-05,0.00270876924409148,1.76187512645016
"atp5fa1",-5.07211105601381,10.9848115950624,-4.51839772245574,6.02996196192758e-05,0.00270876924409148,1.75687397373681
"ERP44.1",-3.99455318080165,10.7637536689901,-4.51570082362717,6.0798027121893e-05,0.00270876924409148,1.74933223239575
"UFM1",-3.40388738754108,10.3993700536199,-4.50802643682645,6.22386018617439e-05,0.00274841259548763,1.72787729878056
"PHYH.2",5.26850928050487,12.2395856265674,4.50359977887309,6.30847588750084e-05,0.00276134163847625,1.71550602074115
